RE or Non-RE,Group Technology,Year,Electricity Installed Capacity (MW),Electricity Generation (GWh),Heat Generation (TJ),Public Flows (2022 USD M),SDG 7a1 Intl. Public Flows (2022 USD M)
Total Renewable,Geothermal energy,2000,8272.7,52571.034999999996,18314.0,0.43955530332035087,0.45999999999999996
Total Renewable,Geothermal energy,2001,7960.7,51678.623999999996,18980.0,,
Total Renewable,Geothermal energy,2002,8113.2,52604.682,19525.0,2.9236146374735292,0.75
Total Renewable,Geothermal energy,2003,8188.1,53775.78399999999,19298.0,0.23441090853378274,0.22
Total Renewable,Geothermal energy,2004,8208.8,56060.822,19729.0,93.61912281714675,99.05000000000001
Total Renewable,Geothermal energy,2005,8555.815999999999,58466.666000000005,23810.786,196.68596482333817,228.12
Total Renewable,Geothermal energy,2006,8758.716000000002,59769.349,23844.269,9.762784674823228,11.290000000000001
Total Renewable,Geothermal energy,2007,9012.736,62668.882,29422.125,8.321458268692492,8.76
Total Renewable,Geothermal energy,2008,9319.016000000001,65262.183000000005,30248.169,2.447199970523317,2.04
Total Renewable,Geothermal energy,2009,9754.416000000001,67289.734,30260.845999999998,431.38814649770677,203.63000000000002
Total Renewable,Geothermal energy,2010,9914.716000000002,68436.18100000001,31171.106,760.9787182407606,692.43
Total Renewable,Geothermal energy,2011,10058.466,69796.175,31134.554,902.0644146745,926.2099999999999
Total Renewable,Geothermal energy,2012,10517.566,70876.697,32886.846,440.17583522485893,449.43
Total Renewable,Geothermal energy,2013,10786.366,72408.01499999998,34326.973999999995,338.76279499927966,291.4199999999999
Total Renewable,Geothermal energy,2014,11244.416,77343.67,37258.358,1232.40580119096,1358.9199999999996
Total Renewable,Geothermal energy,2015,11843.466,81228.849,41904.099,1211.6742916016253,1205.05
Total Renewable,Geothermal energy,2016,12169.374,83240.84,46298.698,1131.693136117884,896.28
Total Renewable,Geothermal energy,2017,12753.979000000001,86705.04300000002,46424.242999999995,1487.8785587583814,1462.6899999999998
Total Renewable,Geothermal energy,2018,13196.475999999999,89464.92300000001,50911.151000000005,1045.5152408739016,1123.78
Total Renewable,Geothermal energy,2019,13823.755000000001,92001.795,51386.384999999995,373.5348525898002,385.26
Total Renewable,Geothermal energy,2020,14164.775,95452.98499999999,49412.004,573.4996711553481,430.97
Total Renewable,Geothermal energy,2021,14450.981999999998,94618.03,50224.109000000004,757.7488405163539,497.03
Total Renewable,Geothermal energy,2022,14695.640999999998,97277.00499999998,47078.727,53.50645200000002,52.88
Total Renewable,Geothermal energy,2023,15091.520999999999,98158.57600000002,48220.269000000015,54.14780246062148,
Total Renewable,Geothermal energy,2024,15411.610999999997,,,,
Total Renewable,Marine energy,2000,238.25,546.765,,0.006714218896164639,0.01
Total Renewable,Marine energy,2001,240.25,524.391,,,
Total Renewable,Marine energy,2002,243.25,533.891,,,
Total Renewable,Marine energy,2003,244.25,530.826,,,
Total Renewable,Marine energy,2004,243.25,508.634,,,
Total Renewable,Marine energy,2005,241.25,516.353,,,
Total Renewable,Marine energy,2006,240.25,490.723,,0.3956635494378481,0.43
Total Renewable,Marine energy,2007,242.55,496.018,,,
Total Renewable,Marine energy,2008,245.55,487.845,,0.011974099286070065,0.01
Total Renewable,Marine energy,2009,244.55,486.923,,0.08106465184167597,0.09
Total Renewable,Marine energy,2010,249.9,514.323,,0.07831185218566923,0.08
Total Renewable,Marine energy,2011,247.92999999999998,513.455,,,
