Region,RE or Non-RE,Group Technology,Year,Electricity Installed Capacity (MW),Electricity Generation (GWh),Heat Generation (TJ),Public Flows (2022 USD M),SDG 7a1 Intl. Public Flows (2022 USD M)
Africa,Total Renewable,Geothermal energy,2000,65.3,432.0,,0.30165783414449104,0.32999999999999996
Africa,Total Renewable,Geothermal energy,2001,65.3,474.5,,,
Africa,Total Renewable,Geothermal energy,2002,65.3,438.0,,0.2515231995000781,0.24
Africa,Total Renewable,Geothermal energy,2003,65.3,588.0,,,
Africa,Total Renewable,Geothermal energy,2004,135.3,911.5,,45.4780537110991,47.18
Africa,Total Renewable,Geothermal energy,2005,135.3,1019.0,,45.13628931819342,48.410000000000004
Africa,Total Renewable,Geothermal energy,2006,135.3,1030.0,,0.08419870895312938,0.08
Africa,Total Renewable,Geothermal energy,2007,135.3,1060.5,,,
Africa,Total Renewable,Geothermal energy,2008,135.3,1144.0,,,
Africa,Total Renewable,Geothermal energy,2009,170.3,1301.145,,32.067604370323046,32.99
Africa,Total Renewable,Geothermal energy,2010,205.3,1401.0849999999998,,682.1940850892616,610.59
Africa,Total Renewable,Geothermal energy,2011,205.3,1496.81,,489.75633155656294,468.96999999999997
Africa,Total Renewable,Geothermal energy,2012,212.8,1586.88,,205.8118417397398,210.58
Africa,Total Renewable,Geothermal energy,2013,212.8,1906.045,,7.221846688400193,7.33
Africa,Total Renewable,Geothermal energy,2014,373.40000000000003,3206.085,,310.08021986788634,322.36
Africa,Total Renewable,Geothermal energy,2015,626.1999999999999,4481.1,,22.891348063183443,24.650000000000002
Africa,Total Renewable,Geothermal energy,2016,660.1999999999999,4688.925,,419.44848875750574,487.03
Africa,Total Renewable,Geothermal energy,2017,680.1999999999999,4870.155,,55.24828470038895,59.42000000000001
Africa,Total Renewable,Geothermal energy,2018,691.0999999999999,5168.435,,123.54689096746105,140.33
Africa,Total Renewable,Geothermal energy,2019,691.0999999999999,5383.855,,37.36526277014465,39.89
Africa,Total Renewable,Geothermal energy,2020,870.43,5384.88,,2.1718045882323276,1.9500000000000002
Africa,Total Renewable,Geothermal energy,2021,870.43,5182.69,,117.72234443389985,123.92
Africa,Total Renewable,Geothermal energy,2022,957.03,5726.96,,22.144653000000005,23.55
Africa,Total Renewable,Geothermal energy,2023,992.03,6085.66,,44.73252678244359,
Africa,Total Renewable,Geothermal energy,2024,947.03,,,,
Africa,Total Renewable,Marine energy,2000,,,,,
Africa,Total Renewable,Marine energy,2001,,,,,
Africa,Total Renewable,Marine energy,2002,,,,,
Africa,Total Renewable,Marine energy,2003,,,,,
Africa,Total Renewable,Marine energy,2004,,,,,
Africa,Total Renewable,Marine energy,2005,,,,,
Africa,Total Renewable,Marine energy,2006,,,,,
Africa,Total Renewable,Marine energy,2007,,,,,
Africa,Total Renewable,Marine energy,2008,,,,,
Africa,Total Renewable,Marine energy,2009,,,,0.08106465184167597,0.09
Africa,Total Renewable,Marine energy,2010,,,,0.07831185218566923,0.08
Africa,Total Renewable,Marine energy,2011,,,,,
Africa,Total Renewable,Marine energy,2012,,,,0.031696913161465404,0.04
Africa,Total Renewable,Marine energy,2013,,,,0.41437667680200324,0.45
Africa,Total Renewable,Marine energy,2014,,,,,
Africa,Total Renewable,Marine energy,2015,,,,0.09104703777754393,0.1
Africa,Total Renewable,Marine energy,2016,,,,,
Africa,Total Renewable,Marine energy,2017,,,,,
Africa,Total Renewable,Marine energy,2018,,,,,
Africa,Total Renewable,Marine energy,2019,,,,,
Africa,Total Renewable,Marine energy,2020,,,,,
Africa,Total Renewable,Marine energy,2021,,,,,
Africa,Total Renewable,Marine energy,2022,,,,0.011292,0.01
Africa,Total Renewable,Marine energy,2023,,,,,
Africa,Total Renewable,Bioenergy,2000,800.679,2199.7999999999997,,1.6374832762500184,1.75
Africa,Total Renewable,Bioenergy,2001,831.5790000000001,2235.2439999999997,,2.934496806657964,3.14
Africa,Total Renewable,Bioenergy,2002,853.5790000000001,2302.591,,1.9530548891934316,2.07
Africa,Total Renewable,Bioenergy,2003,861.5790000000001,2274.28,,0.381492262907921,0.36
Africa,Total Renewable,Bioenergy,2004,870.5790000000001,2351.7340000000004,,3.205378729667151,3.4
Africa,Total Renewable,Bioenergy,2005,953.8290000000001,2383.4019999999996,,1.0867500341005931,1.1700000000000002
Africa,Total Renewable,Bioenergy,2006,886.202,2373.165,,0.007047166531463669,0.01
Africa,Total Renewable,Bioenergy,2007,901.052,2347.9249999999997,,3.387000457802274,3.3999999999999995
Africa,Total Renewable,Bioenergy,2008,945.672,2355.8779999999997,,74.32890085173845,111.57000000000001
Africa,Total Renewable,Bioenergy,2009,997.981,2461.6910000000003,,52.12727255978608,54.97
Africa,Total Renewable,Bioenergy,2010,1059.92,2556.9970000000003,,6.709013990401923,6.65
Africa,Total Renewable,Bioenergy,2011,1142.46,2609.5480000000007,,131.24105731939227,125.00000000000001
Africa,Total Renewable,Bioenergy,2012,1238.2130000000002,2879.638,,7.539046268154,7.82
Africa,Total Renewable,Bioenergy,2013,1310.803,2983.2360000000003,,17.641872324559294,16.509999999999998
Africa,Total Renewable,Bioenergy,2014,1403.3700000000001,2913.6609999999996,,7.61536694906692,7.519999999999999
Africa,Total Renewable,Bioenergy,2015,1484.2900000000002,3047.1829999999995,,72.92887142168185,75.72
Africa,Total Renewable,Bioenergy,2016,1546.6850000000004,3274.708,,22.04755499906805,22.63
Africa,Total Renewable,Bioenergy,2017,1663.0600000000006,3166.441000000001,,23.106219828231847,23.909999999999997
Africa,Total Renewable,Bioenergy,2018,1818.1600000000005,3363.3390000000004,,43.47222642614018,46.19
Africa,Total Renewable,Bioenergy,2019,1831.5600000000006,3397.089,,5.0660759972193015,5.290000000000001
Africa,Total Renewable,Bioenergy,2020,1846.3170000000007,3271.9579999999996,,43.41389445446797,43.95
Africa,Total Renewable,Bioenergy,2021,1944.0600000000004,3231.1490000000003,,217.02637147099588,186.66
Africa,Total Renewable,Bioenergy,2022,1942.9000000000003,3242.022999999999,,48.457863,50.71000000000001
Africa,Total Renewable,Bioenergy,2023,2164.0200000000004,4087.427,,4.043077855802224,
Africa,Total Renewable,Bioenergy,2024,2241.52,,,,
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2000,20842.703,76120.53399999999,,19.913819189794708,21.7
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2001,20964.746000000003,82838.69599999998,,4.523956655601618,4.79
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2002,21205.790999999997,80907.14399999997,,3.656535442165666,3.49
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2003,21583.073999999993,82708.549,,1536.8163659869824,1576.4699999999998
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2004,21523.048999999995,86847.37000000001,,190.78845874724888,213.26
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2005,21549.699999999997,93937.46900000003,,781.5089711258938,823.2199999999999
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2006,21521.428,98434.906,,717.5946770720448,664.27
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2007,21722.219999999998,96618.22500000002,,2208.9296314158187,2279.12
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2008,22031.366999999995,100162.74300000003,,1134.421838533306,1155.0
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2009,23820.565,106707.158,,491.4927208867433,503.12
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2010,24631.127999999997,112094.56399999998,,264.104554629019,275.6300000000001
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2011,24781.671000000002,113757.32399999998,,1865.5627875993641,1897.7700000000002
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2012,25441.678000000004,115331.43100000001,,946.4982426625628,982.74
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2013,26539.318000000003,121956.328,,3265.24726153843,3132.4500000000003
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2014,26562.519,127045.10100000001,,1213.567235886717,713.6299999999999
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2015,27073.996,126078.18400000001,,2085.7076912803827,2134.4900000000002
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2016,28002.189,122692.34200000003,,5831.912022113975,5685.199999999997
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2017,30761.220000000005,129753.96100000001,,3859.6923383538383,3957.08
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2018,32133.021,138706.56900000002,,3181.6558598708534,2958.5499999999997
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2019,32979.193,145042.185,,686.5076615648899,679.1
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2020,33798.398,150059.71999999997,,824.5768122623937,864.5999999999999
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2021,34279.708,157501.36199999996,,802.6753555862224,448.32
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2022,36025.865000000005,162292.35100000002,,362.46730699999995,377.60999999999996
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2023,37612.89100000001,163746.697,,626.8290178764622,
Africa,Total Renewable,Hydropower (excl. Pumped Storage),2024,38949.57400000001,,,,
Africa,Total Renewable,Multiple renewables*,2000,,,,68.91480479447777,70.75
Africa,Total Renewable,Multiple renewables*,2001,,,,19.368928731911815,20.16
Africa,Total Renewable,Multiple renewables*,2002,,,,125.75317280103394,129.71
Africa,Total Renewable,Multiple renewables*,2003,,,,8.829426486682657,9.459999999999999
Africa,Total Renewable,Multiple renewables*,2004,,,,33.55750477429702,34.5
Africa,Total Renewable,Multiple renewables*,2005,,,,85.21423567019329,88.02
Africa,Total Renewable,Multiple renewables*,2006,,,,73.2212336697917,76.69
Africa,Total Renewable,Multiple renewables*,2007,,,,187.77987659513502,192.92999999999998
Africa,Total Renewable,Multiple renewables*,2008,,,,105.24195986317027,111.34
Africa,Total Renewable,Multiple renewables*,2009,,,,418.58887925468485,428.56
Africa,Total Renewable,Multiple renewables*,2010,,,,697.5610560358424,724.45
Africa,Total Renewable,Multiple renewables*,2011,,,,568.5707696762723,593.9899999999999
Africa,Total Renewable,Multiple renewables*,2012,,,,605.6583708646702,630.3499999999999
Africa,Total Renewable,Multiple renewables*,2013,,,,402.3866616858204,414.06
Africa,Total Renewable,Multiple renewables*,2014,,,,609.0296521065244,637.42
Africa,Total Renewable,Multiple renewables*,2015,,,,623.9133651254451,646.9000000000001
Africa,Total Renewable,Multiple renewables*,2016,,,,1411.0566939149383,1341.54
Africa,Total Renewable,Multiple renewables*,2017,,,,1794.2835427001016,1902.1699999999998
Africa,Total Renewable,Multiple renewables*,2018,,,,1053.220994615777,1039.8000000000002
